,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
31,31,1.0,0.010818307905686546,0.7515780356630792,0.2917987321823044,993,500,674.6708860759494,137.39502967293865,252.0,1.0,65.51898734177215,41.85563930515398
32,32,1.0,0.010818307905686546,0.7549865013726934,0.2894173363181433,993,500,672.7345679012345,137.18192088885556,252.0,1.0,65.9320987654321,41.45402700069121
33,33,1.0,0.010818307905686546,0.7591926652518535,0.2873126027493116,993,500,673.2530120481928,136.22239778222684,252.0,1.0,66.1566265060241,41.09987301542303
34,34,1.0,0.010818307905686546,0.7610774795355035,0.28738471353221273,993,500,673.6176470588235,135.53422998412427,252.0,1.0,66.67647058823529,41.3695430003917
35,35,1.0,0.010818307905686546,0.7644301561468629,0.28606224307952616,993,500,674.9537572254335,136.53646821087344,252.0,1.0,66.73410404624278,41.00948336056845
36,36,1.0,0.010818307905686546,0.7593000042029168,0.2912510915816415,993,500,675.3920454545455,136.1536096549699,252.0,1.0,66.39204545454545,41.353939101623425
37,37,1.0,0.010818307905686546,0.7582392549144189,0.2907546272452672,993,500,674.0111731843575,135.4734100046161,252.0,1.0,66.20670391061452,41.14371577851865
38,38,1.0,0.010818307905686546,0.7594353655349856,0.2905734187163757,993,500,673.3369565217391,136.50739303615816,252.0,1.0,66.47826086956522,40.97006191007259
39,39,1.0,0.010818307905686546,0.7585726452052461,0.28777960805690106,993,500,672.1,135.63601112251678,252.0,1.0,66.12631578947368,40.44625203668558
40,40,1.0,0.010818307905686546,0.7573825527223585,0.28705010300869094,993,500,671.7692307692307,135.02940907970955,252.0,1.0,65.7948717948718,40.19679648669476
41,41,1.0,0.010818307905686546,0.7579560255426403,0.28649193080897173,993,500,673.9035532994924,136.4363716452391,252.0,1.0,65.25888324873097,39.33735547137347
42,42,1.0,0.010818307905686546,0.7550642442885065,0.2859617103796619,993,500,672.8712871287129,135.35850046850152,252.0,1.0,65.0940594059406,39.61903236738371
43,43,1.0,0.010818307905686546,0.7563016144969316,0.2848551121526407,993,500,670.6421568627451,135.3919847852653,252.0,1.0,65.73529411764706,40.35774175567189
44,44,1.0,0.010818307905686546,0.7577304085928838,0.28383282583869124,993,500,670.3689320388349,135.36400719802717,252.0,1.0,65.85922330097087,40.26515272877831
45,45,1.0,0.010818307905686546,0.7523920126883847,0.2873251034207387,993,500,671.311004784689,134.62417031900958,252.0,1.0,65.20095693779905,40.38918599370026
46,46,1.0,0.010818307905686546,0.7473543035092769,0.2908280575670388,993,500,669.3820754716982,134.608191336259,252.0,1.0,65.12735849056604,41.009163310823766
47,47,1.0,0.010818307905686546,0.7476216400724158,0.2903267472730459,993,500,668.9158878504672,134.23013812528424,252.0,1.0,65.23364485981308,40.924200959961496
48,48,1.0,0.010818307905686546,0.7476244234428926,0.28948810967814326,993,500,671.1162790697674,135.69936695393042,252.0,1.0,64.6,40.436150199922025
49,49,1.0,0.010818307905686546,0.741748417237179,0.2913630628632313,993,500,672.5525114155251,136.77853502193403,252.0,1.0,63.70319634703196,40.26755174680296
50,50,1.0,0.010818307905686546,0.7382509784370999,0.29109832530912666,993,500,673.073732718894,137.12613854276816,252.0,1.0,62.48847926267281,38.851701735821585
51,51,1.0,0.010818307905686546,0.7394718137030271,0.2884982754503713,993,500,671.1101321585903,136.14357086559596,216.0,1.0,62.75330396475771,38.53226351975534
52,52,1.0,0.010818307905686546,0.7421258718768217,0.2859716888420073,993,500,671.1521739130435,136.3504294972129,216.0,1.0,63.321739130434786,39.512542439871616
53,53,1.0,0.010818307905686546,0.7399380892078233,0.28737448702165147,993,500,670.1,134.98301203158087,216.0,1.0,63.23913043478261,39.63026983822037
54,54,1.0,0.010818307905686546,0.7431683733191685,0.28533101734768335,993,500,669.2468085106383,135.31059056577223,216.0,1.0,63.791489361702126,39.94359179580749
55,55,1.0,0.010818307905686546,0.7404087848731725,0.2875762887523848,993,500,668.7310924369748,135.35972996994238,264.0,1.0,64.24369747899159,41.9954722065251
56,56,1.0,0.010818307905686546,0.7393170312479018,0.2867638142851267,993,500,671.9253112033196,137.01530716799581,264.0,1.0,63.79668049792531,41.90778752930844
57,57,1.0,0.010818307905686546,0.7381278279256952,0.28698262588056783,993,500,671.3196721311475,136.28228187169245,264.0,1.0,63.57377049180328,41.83121445281398
58,58,1.0,0.010818307905686546,0.7392379380115711,0.285796277728238,993,500,670.0323886639676,136.19282929577523,264.0,1.0,64.15789473684211,42.72281820701733
59,59,1.0,0.010818307905686546,0.7437854537715842,0.2847806317356366,993,500,670.1031746031746,137.24815860941294,264.0,1.0,64.87301587301587,42.90487655619739
60,60,1.0,0.010818307905686546,0.7428041537750276,0.284956100860425,993,500,672.8538461538461,138.95840390576606,264.0,1.0,64.3076923076923,42.432202776804225
61,61,1.0,0.010818307905686546,0.7403404940127685,0.28637161643907294,993,500,671.9770992366413,138.84272453224904,264.0,1.0,64.11832061068702,42.403342060013365
62,62,1.0,0.010818307905686546,0.7422708438307871,0.2855275232985579,993,500,671.5730337078652,138.04689360501786,264.0,1.0,64.61048689138576,43.120459470534584
63,63,1.0,0.010818307905686546,0.7428074606164738,0.2851050537959487,993,500,671.2388059701492,137.8967305674456,264.0,1.0,64.63805970149254,43.04200073106212
64,64,1.0,0.010818307905686546,0.74312800444103,0.28442803234776237,993,500,670.4126394052045,138.16001966444273,264.0,1.0,64.7100371747212,42.977839781822965
65,65,1.0,0.010818307905686546,0.7379911302888649,0.28602737922917393,993,500,671.3592592592593,137.27586195155436,264.0,1.0,62.75555555555555,39.9409353263788
66,66,1.0,0.010818307905686546,0.7408125456458087,0.28436430809334096,993,500,670.6086956521739,136.32620956741874,252.0,1.0,62.92028985507246,39.45594765059618
67,67,1.0,0.010818307905686546,0.7385253974954271,0.2848240599800106,993,500,671.6521739130435,136.21761478265245,187.0,1.0,62.06521739130435,37.868712251526745
68,68,1.0,0.010818307905686546,0.7372138774948113,0.28582131346370593,993,500,672.2553191489362,135.52956128565506,187.0,1.0,61.86879432624114,37.87308574916959
69,69,1.0,0.010818307905686546,0.7348948057275693,0.28631613109629045,993,500,671.2711267605633,135.5227299365977,187.0,1.0,61.59507042253521,37.78741134529814
70,70,1.0,0.010818307905686546,0.7366379642471875,0.2849580290782783,993,500,670.3402777777778,135.30765888608326,187.0,1.0,61.81944444444444,37.67764478790379
