,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
46,46,1.0,0.009986130374479889,0.6853637679451501,0.3109752017016263,989,500,669.0522875816994,130.24015221129773,180.0,1.0,60.35294117647059,42.86169167220416
47,47,1.0,0.009986130374479889,0.6869925728455548,0.31061683031096987,989,500,670.1233766233767,130.74574077578035,180.0,1.0,60.23376623376623,42.70292457692003
48,48,1.0,0.009986130374479889,0.6845408855681328,0.3111076548615011,989,500,670.7806451612903,130.57720366305975,180.0,1.0,59.935483870967744,42.72574536663437
49,49,1.0,0.009986130374479889,0.6800190707350902,0.30888281439737,989,500,675.4375,132.99669866333497,180.0,1.0,58.91875,42.49601858894491
50,50,1.0,0.009986130374479889,0.6780752332684922,0.3088754768003359,989,500,674.8050314465409,133.175314072548,180.0,1.0,58.84905660377358,42.62111390344221
51,51,1.0,0.009986130374479889,0.6769301895515488,0.30606195916783974,989,500,674.9691358024692,133.2270011074829,180.0,1.0,58.5,42.34672763762161
52,52,1.0,0.009986130374479889,0.675872978738811,0.3066401111127066,989,500,677.0,134.92902735972874,180.0,1.0,58.05421686746988,42.04344881394563
53,53,1.0,0.009986130374479889,0.673154661550685,0.30838254061182235,989,500,675.9401197604791,135.21614560144394,180.0,1.0,58.18562874251497,42.665217169003206
54,54,1.0,0.009986130374479889,0.6743231376539816,0.3069219001541711,989,500,676.9408284023668,134.7272687842798,180.0,1.0,58.01183431952663,42.45052977481983
55,55,1.0,0.009986130374479889,0.6729373691224062,0.3065454458427313,989,500,676.3235294117648,134.56898553948588,180.0,1.0,57.84705882352941,42.379241843469664
56,56,1.0,0.009986130374479889,0.6707393659523408,0.30448712633298886,989,500,677.3988439306358,135.415971537677,180.0,1.0,57.50289017341041,42.15580517797025
57,57,1.0,0.009986130374479889,0.6671980699432993,0.30416072173425424,989,500,674.9425287356322,133.11461064862493,180.0,1.0,57.189655172413794,42.17694226517545
58,58,1.0,0.009986130374479889,0.6657556844450049,0.3044017167941392,989,500,673.9261363636364,132.99993640756222,210.0,1.0,57.8125,43.61499168863844
59,59,1.0,0.009986130374479889,0.6655476400622032,0.30418696117418287,989,500,673.4943181818181,133.091933732572,210.0,1.0,57.63068181818182,43.43842895858008
60,60,1.0,0.009986130374479889,0.6606539128099035,0.305114538667286,989,500,673.6871508379888,132.9370147481554,210.0,1.0,56.977653631284916,43.372434070043305
61,61,1.0,0.009986130374479889,0.660733979549405,0.30503149613915537,989,500,673.6871508379888,132.9370147481554,210.0,1.0,56.977653631284916,43.372434070043305
62,62,1.0,0.009986130374479889,0.6632948065957774,0.30569527182114775,989,500,675.7166666666667,132.35711279437376,180.0,1.0,56.05,41.29459160821652
63,63,1.0,0.009986130374479889,0.6649348791707854,0.3056424307274968,989,500,675.6685082872929,131.99053228877264,180.0,1.0,56.20441988950276,41.23209621319084
64,64,1.0,0.009986130374479889,0.6626619070356139,0.3068657722431223,989,500,675.2950819672132,132.02231050161768,180.0,1.0,56.05464480874317,41.21769154670214
65,65,1.0,0.009986130374479889,0.6645093368710928,0.3070226016586413,989,500,675.5760869565217,131.71626515737827,180.0,1.0,56.20652173913044,41.156515341422015
66,66,1.0,0.009986130374479889,0.6658931492003838,0.30576519590873336,989,500,675.3655913978495,131.5719747491011,180.0,1.0,56.24193548387097,41.01009189595572
67,67,1.0,0.009986130374479889,0.6652098641563629,0.3053024986932677,989,500,675.4840425531914,131.16986888518437,180.0,1.0,56.1436170212766,40.92703317614416
68,68,1.0,0.009986130374479889,0.6608127113901258,0.3066900080362366,989,500,674.6368421052632,130.73949100594453,180.0,1.0,55.73157894736842,40.907646050955314
