,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
21,21,50,14,0.8115746648173834,0.17012272740517262,0.5051317614424411,1.0,734.5,158.86966356104617,513.0,993.0,70.5,54.36993654585225,24.0,252.0
22,22,50,19,0.7991752196024041,0.1739207140963601,0.5051317614424411,1.0,728.22,152.74649455879504,513.0,993.0,66.4,48.035403610253965,24.0,238.0
23,23,50,16,0.7952177531206658,0.17001144854258293,0.5051317614424411,1.0,736.7,150.07068334621522,513.0,993.0,64.28,46.028269574251865,24.0,238.0
24,24,50,17,0.7921017105871475,0.1805497588624037,0.5051317614424411,1.0,712.7,147.1829134104907,513.0,993.0,69.62,50.536675790954035,24.0,238.0
25,25,50,17,0.8060767452612112,0.17279241197828474,0.5051317614424411,1.0,704.36,148.64773930336108,513.0,993.0,75.18,57.929160187249394,24.0,238.0
26,26,50,19,0.8199278779472955,0.17958011897318185,0.5047619047619047,1.0,715.76,151.4735039536618,513.0,993.0,78.12,57.767340253814695,24.0,238.0
27,27,50,13,0.8114452149791958,0.18479455936783984,0.5047619047619047,1.0,702.22,145.93098231698434,513.0,993.0,79.4,57.716548753368826,24.0,238.0
28,28,50,12,0.8098141470180306,0.17810180303113185,0.5047619047619047,1.0,698.52,148.6589708023031,513.0,993.0,78.0,56.32974347536122,24.0,238.0
29,29,50,10,0.8263707813222377,0.17445031760286728,0.5047619047619047,1.0,692.24,151.40535789726863,513.0,993.0,79.46,55.30938799155167,24.0,238.0
30,30,50,16,0.8224466019417477,0.17502283899235418,0.5047619047619047,1.0,689.32,153.9909659687866,511.0,993.0,81.44,56.09533313921934,21.0,238.0
31,31,50,17,0.8294294960702728,0.1719545261305938,0.5047619047619047,1.0,686.42,152.55334673483898,511.0,993.0,83.16,56.65381187528338,21.0,238.0
32,32,50,9,0.8366121128062877,0.16743006379650635,0.5047619047619047,1.0,679.2,146.86156747086693,511.0,993.0,84.92,54.466811913311034,21.0,230.0
33,33,50,15,0.8329209431345354,0.16870086595267253,0.5047619047619047,1.0,688.28,142.61992006728934,511.0,993.0,78.62,47.076486699837744,21.0,204.0
34,34,50,13,0.8240499306518723,0.16588302739696692,0.5047619047619047,1.0,710.74,148.71513843587007,511.0,993.0,71.56,42.253596296646755,21.0,180.0
35,35,50,16,0.8465113268608415,0.16554824630994547,0.5047619047619047,1.0,703.86,148.53471109474714,511.0,993.0,77.64,44.5217969089299,21.0,180.0
