,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
38,38,50,13,1.0,0.6038834951456311,0.8635487748497458,0.138035828822083,988.0,511.0,704.32,159.38424514361512,308.0,24.0,83.08,60.35854206324072,38,50,13,38,50,13,38,50,13
39,39,50,8,1.0,0.6038834951456311,0.8674267221451687,0.13836793723877977,988.0,511.0,696.08,161.08393340119306,308.0,24.0,86.14,60.26807114882639,39,50,8,39,50,8,39,50,8
40,40,50,10,1.0,0.6038834951456311,0.868325473878872,0.1392849413556915,988.0,511.0,708.72,160.96037276298784,308.0,24.0,81.78,59.98142712540274,40,50,10,40,50,10,40,50,10
41,41,50,13,1.0,0.6038834951456311,0.8582228386500232,0.14138151677857203,988.0,511.0,694.96,155.69893512802201,308.0,24.0,83.4,61.50512173794959,41,50,13,41,50,13,41,50,13
42,42,50,12,1.0,0.6053629218677762,0.8459972260748959,0.1406937647085423,988.0,511.0,710.58,150.41636746045958,308.0,24.0,77.48,60.87733239884941,42,50,12,42,50,12,42,50,12
43,43,50,13,1.0,0.6053629218677762,0.8501063337956541,0.13600033772225262,988.0,511.0,698.66,147.40835932877076,266.0,24.0,76.24,48.31834434249584,43,50,13,43,50,13,43,50,13
44,44,50,8,1.0,0.6053629218677762,0.8395598705501619,0.1372816594076559,988.0,511.0,697.62,155.3069077665253,266.0,24.0,75.66,47.510676694823026,44,50,8,44,50,8,44,50,8
45,45,50,12,1.0,0.6053629218677762,0.8425205732778548,0.14301182439796148,988.0,511.0,720.82,154.8752646486843,266.0,24.0,75.98,53.7082824152849,45,50,12,45,50,12,45,50,12
46,46,50,12,1.0,0.6053629218677762,0.8393952843273231,0.13662453265318555,988.0,501.0,715.82,152.07309952782578,266.0,24.0,76.08,54.09467256578969,46,50,12,46,50,12,46,50,12
47,47,50,9,1.0,0.6014794267221452,0.8511955617198338,0.13740888053219735,988.0,501.0,710.44,156.45985555406858,266.0,24.0,79.4,54.17748609893228,47,50,9,47,50,9,47,50,9
48,48,50,9,1.0,0.6014794267221452,0.8421803051317613,0.14046805014030095,988.0,501.0,709.82,155.51793337104243,266.0,24.0,77.7,53.53213987876816,48,50,9,48,50,9,48,50,9
49,49,50,11,1.0,0.6014794267221452,0.8524789644012946,0.1364387748893917,988.0,501.0,696.18,148.4445606952306,240.0,24.0,77.48,46.81463019185348,49,50,11,49,50,11,49,50,11
50,50,50,7,1.0,0.6014794267221452,0.8396449375866852,0.1439514707185332,988.0,501.0,694.74,149.10383093669995,228.0,24.0,75.84,46.74798819200672,50,50,7,50,50,7,50,50,7
51,51,50,10,1.0,0.6014794267221452,0.835053166897827,0.14361487071664847,988.0,501.0,688.56,145.79522077215015,228.0,24.0,74.9,45.89128457561414,51,50,10,51,50,10,51,50,10
52,52,50,12,1.0,0.6014794267221452,0.8393527508090615,0.14789871284024567,988.0,501.0,696.16,150.38249366199514,266.0,24.0,81.1,58.29931388961623,52,50,12,52,50,12,52,50,12
53,53,50,12,1.0,0.6014794267221452,0.841416551086454,0.1451640411851239,988.0,501.0,695.02,156.88435103604183,266.0,24.0,82.1,57.80977426006782,53,50,12,53,50,12,53,50,12
54,54,50,13,1.0,0.6014794267221452,0.838588996763754,0.14433622437535779,988.0,501.0,699.52,159.12262441274655,266.0,24.0,81.16,59.23524626436527,54,50,13,54,50,13,54,50,13
55,55,50,18,1.0,0.6014794267221452,0.8381914008321776,0.14652110351248124,988.0,501.0,678.42,155.23274010336866,266.0,24.0,82.58,58.70437462404314,55,50,18,55,50,18,55,50,18
56,56,50,11,1.0,0.6014794267221452,0.8421932501155802,0.14527635959439522,988.0,501.0,698.18,165.35182974494114,192.0,24.0,75.68,46.63365308444107,56,50,11,56,50,11,56,50,11
57,57,50,12,1.0,0.6014794267221452,0.8411502542764678,0.14340386515720702,988.0,501.0,693.96,162.33951583025004,192.0,24.0,75.66,45.96329405079666,57,50,12,57,50,12,57,50,12
58,58,50,13,1.0,0.6014794267221452,0.8330300508552937,0.14492905087307784,988.0,501.0,687.22,157.12635552319034,192.0,24.0,74.62,45.84970665118807,58,50,13,58,50,13,58,50,13
59,59,50,17,1.0,0.6014794267221452,0.8302394822006472,0.1460066901695466,988.0,501.0,690.52,157.73740710433907,192.0,24.0,73.52,45.8468057775021,59,50,17,59,50,17,59,50,17
60,60,50,10,1.0,0.6014794267221452,0.8381137309292649,0.14344402503210346,988.0,501.0,688.56,162.7146164301167,192.0,24.0,75.26,45.07851372882651,60,50,10,60,50,10,60,50,10
61,61,50,11,1.0,0.6014794267221452,0.8467073509015256,0.14831124339540408,988.0,501.0,685.96,164.6581865562718,192.0,24.0,78.32,44.658454966557,61,50,11,61,50,11,61,50,11
62,62,50,9,1.0,0.6014794267221452,0.8389847434119279,0.14740251818574002,988.0,501.0,672.14,153.22858871633582,192.0,24.0,77.8,44.33779426178077,62,50,9,62,50,9,62,50,9
63,63,50,9,1.0,0.6014794267221452,0.8338714748035138,0.14831618180736486,988.0,501.0,674.74,153.52560828734732,192.0,24.0,77.38,44.758860575309555,63,50,9,63,50,9,63,50,9
64,64,50,9,1.0,0.6014794267221452,0.8318945908460472,0.1480195482301947,988.0,501.0,665.52,154.0761162542722,192.0,24.0,77.8,45.04486652216876,64,50,9,64,50,9,64,50,9
65,65,50,11,1.0,0.6014794267221452,0.8227018030513176,0.1463229622804742,988.0,501.0,667.56,154.37463004004255,192.0,24.0,75.52,45.11551396138584,65,50,11,65,50,11,65,50,11
66,66,50,6,1.0,0.6014794267221452,0.8438132223763292,0.14732393191945256,988.0,501.0,690.86,169.3175726261158,192.0,24.0,78.1,45.1837360119767,66,50,6,66,50,6,66,50,6
67,67,50,6,1.0,0.6014794267221452,0.8398206195099401,0.1471306234244128,988.0,501.0,680.02,161.99549252988493,192.0,24.0,77.8,45.4880204009803,67,50,6,67,50,6,67,50,6
68,68,50,12,1.0,0.6014794267221452,0.8411816920943135,0.14805264739284327,988.0,501.0,676.44,161.62204800088384,192.0,24.0,79.44,48.176409164652355,68,50,12,68,50,12,68,50,12
69,69,50,8,1.0,0.6014794267221452,0.8524216366158113,0.14591267510101483,988.0,501.0,675.18,160.32301020128085,192.0,24.0,80.74,47.48928721301258,69,50,8,69,50,8,69,50,8
70,70,50,11,1.0,0.6014794267221452,0.8567933425797505,0.14862454430008276,992.0,501.0,659.84,154.8161955352217,192.0,24.0,86.24,49.126595648385816,70,50,11,70,50,11,70,50,11
71,71,50,7,1.0,0.6014794267221452,0.8521738326398522,0.1462457720002193,992.0,501.0,678.02,161.31565206141653,192.0,24.0,81.3,49.31460229992735,71,50,7,71,50,7,71,50,7
72,72,50,5,1.0,0.6014794267221452,0.8453647711511788,0.1464255672055551,992.0,501.0,689.0,158.3676734690511,180.0,24.0,74.1,42.32930427020978,72,50,5,72,50,5,72,50,5
73,73,50,7,1.0,0.6014794267221452,0.8664262598243181,0.1394818767004765,992.0,501.0,689.22,160.34117250413257,180.0,24.0,78.62,43.66916074302322,73,50,7,73,50,7,73,50,7
74,74,50,12,1.0,0.6014794267221452,0.8520129449838187,0.14201549976162686,992.0,501.0,686.08,156.86157464465285,180.0,24.0,76.88,44.211147915429656,74,50,12,74,50,12,74,50,12
75,75,50,7,1.0,0.6014794267221452,0.8569912159038373,0.14226977807245475,992.0,501.0,694.64,160.2417873090537,180.0,24.0,77.18,44.389949312879374,75,50,7,75,50,7,75,50,7
76,76,50,7,1.0,0.6014794267221452,0.8493407304669442,0.14246774662368508,992.0,501.0,696.24,159.04471823987114,180.0,24.0,75.64,44.71856885008732,76,50,7,76,50,7,76,50,7
77,77,50,6,1.0,0.6014794267221452,0.8473472029588536,0.1398542032870283,992.0,501.0,678.48,159.02355045715714,180.0,24.0,76.44,43.23108141141047,77,50,6,77,50,6,77,50,6
78,78,50,10,1.0,0.6014794267221452,0.8454923717059641,0.14082737029578105,992.0,501.0,680.5,157.92723007765318,180.0,24.0,74.04,40.44154299726952,78,50,10,78,50,10,78,50,10
79,79,50,10,1.0,0.6014794267221452,0.8520221914008321,0.1434849349926849,994.0,501.0,680.56,155.72272281205463,180.0,24.0,76.02,41.023159312758935,79,50,10,79,50,10,79,50,10
80,80,50,7,1.0,0.6014794267221452,0.8432122052704577,0.13862111524174472,994.0,501.0,667.5,151.74850905363124,180.0,24.0,75.3,40.36396908134778,80,50,7,80,50,7,80,50,7
81,81,50,10,1.0,0.6014794267221452,0.8433231622746186,0.1408112960667529,994.0,501.0,685.04,161.34818994956217,180.0,24.0,73.72,41.4801350046019,81,50,10,81,50,10,81,50,10
82,82,50,7,1.0,0.6000924641701341,0.8359445214979195,0.1445912484216917,994.0,501.0,670.84,159.38561541117818,180.0,24.0,75.76,42.04833409304107,82,50,7,82,50,7,82,50,7
83,83,50,10,1.0,0.6000924641701341,0.837950993989829,0.13866806822226066,994.0,501.0,684.66,164.34884970695717,180.0,24.0,74.14,42.449975265010465,83,50,10,83,50,10,83,50,10
84,84,50,8,1.0,0.6000924641701341,0.8427498844197874,0.14296134771244542,994.0,501.0,684.8,159.54974146014777,180.0,24.0,75.22,42.111418878969154,84,50,8,84,50,8,84,50,8
85,85,50,5,1.0,0.6000924641701341,0.8421729079981507,0.14234548472508435,994.0,501.0,674.98,147.78260926103584,180.0,24.0,74.8,40.82744175184137,85,50,5,85,50,5,85,50,5
86,86,50,10,1.0,0.6000924641701341,0.8413851132686083,0.14145542163731245,994.0,501.0,680.24,151.07859676340658,180.0,24.0,74.2,40.73033267725664,86,50,10,86,50,10,86,50,10
87,87,50,8,1.0,0.6000924641701341,0.8429810448451225,0.14289680461210275,994.0,501.0,687.02,157.2832464059666,180.0,24.0,75.22,41.10050607960928,87,50,8,87,50,8,87,50,8
