,generation,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
56,56,0.0016326530612244899,0.0008163265306122449,0.0016326530612244899,0.0024489795918367346,0.0016326530612244899,0.0032653061224489797,0.004081632653061225,0.011428571428571429,0.7746938775510204,0.013877551020408163
57,57,0.0008163265306122449,0.0,0.0,0.0,0.0008163265306122449,0.0032653061224489797,0.0024489795918367346,0.011428571428571429,0.7746938775510204,0.0163265306122449
58,58,0.0008163265306122449,0.0,0.0,0.0,0.0008163265306122449,0.0024489795918367346,0.0032653061224489797,0.012244897959183673,0.7746938775510204,0.02122448979591837
59,59,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0032653061224489797,0.0016326530612244899,0.0024489795918367346,0.011428571428571429,0.7746938775510204,0.018775510204081632
60,60,0.0016326530612244899,0.0,0.0,0.0008163265306122449,0.0016326530612244899,0.0024489795918367346,0.0024489795918367346,0.009795918367346938,0.7746938775510204,0.0163265306122449
61,61,0.0016326530612244899,0.0,0.0,0.0016326530612244899,0.0016326530612244899,0.0024489795918367346,0.0016326530612244899,0.009795918367346938,0.7746938775510204,0.026122448979591838
62,62,0.0008163265306122449,0.0,0.0008163265306122449,0.0008163265306122449,0.0016326530612244899,0.0016326530612244899,0.0016326530612244899,0.00816326530612245,0.7746938775510204,0.02040816326530612
63,63,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0,0.0016326530612244899,0.0024489795918367346,0.0024489795918367346,0.008979591836734694,0.7746938775510204,0.036734693877551024
64,64,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0024489795918367346,0.0016326530612244899,0.0032653061224489797,0.008979591836734694,0.7746938775510204,0.030204081632653063
65,65,0.0016326530612244899,0.0008163265306122449,0.0016326530612244899,0.0008163265306122449,0.0024489795918367346,0.0016326530612244899,0.0024489795918367346,0.009795918367346938,0.7746938775510204,0.013877551020408163
66,66,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0016326530612244899,0.0016326530612244899,0.0016326530612244899,0.008979591836734694,0.7746938775510204,0.017959183673469388
67,67,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0016326530612244899,0.0024489795918367346,0.0016326530612244899,0.008979591836734694,0.7746938775510204,0.02040816326530612
68,68,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0016326530612244899,0.0032653061224489797,0.0016326530612244899,0.008979591836734694,0.7746938775510204,0.026122448979591838
69,69,0.0,0.0008163265306122449,0.0008163265306122449,0.0,0.0024489795918367346,0.0024489795918367346,0.0032653061224489797,0.009795918367346938,0.7746938775510204,0.02857142857142857
70,70,0.0,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0016326530612244899,0.0032653061224489797,0.004081632653061225,0.009795918367346938,0.7746938775510204,0.030204081632653063
71,71,0.0,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0016326530612244899,0.0024489795918367346,0.009795918367346938,0.7746938775510204,0.02040816326530612
72,72,0.0,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0024489795918367346,0.008979591836734694,0.7746938775510204,0.03836734693877551
73,73,0.0,0.0016326530612244899,0.0008163265306122449,0.0,0.0008163265306122449,0.0032653061224489797,0.0016326530612244899,0.00816326530612245,0.7746938775510204,0.026122448979591838
74,74,0.0,0.0,0.0,0.0,0.0016326530612244899,0.0032653061224489797,0.0024489795918367346,0.008979591836734694,0.7746938775510204,0.014693877551020407
75,75,0.0,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0024489795918367346,0.0016326530612244899,0.00816326530612245,0.7746938775510204,0.03346938775510204
76,76,0.0008163265306122449,0.0016326530612244899,0.0008163265306122449,0.0,0.0016326530612244899,0.0032653061224489797,0.0008163265306122449,0.00816326530612245,0.7746938775510204,0.026122448979591838
77,77,0.0008163265306122449,0.0016326530612244899,0.0,0.0008163265306122449,0.0016326530612244899,0.0032653061224489797,0.0008163265306122449,0.00816326530612245,0.7746938775510204,0.02857142857142857
78,78,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.004081632653061225,0.0008163265306122449,0.007346938775510204,0.7746938775510204,0.0163265306122449
79,79,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.0032653061224489797,0.0008163265306122449,0.006530612244897959,0.7746938775510204,0.013061224489795919
80,80,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.004081632653061225,0.0016326530612244899,0.006530612244897959,0.7395918367346939,0.019591836734693877
81,81,0.0008163265306122449,0.0,0.0008163265306122449,0.0,0.0008163265306122449,0.0024489795918367346,0.0008163265306122449,0.006530612244897959,0.7395918367346939,0.025306122448979593
82,82,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0024489795918367346,0.0032653061224489797,0.0,0.005714285714285714,0.7395918367346939,0.0163265306122449
83,83,0.0008163265306122449,0.0,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0024489795918367346,0.0,0.006530612244897959,0.7395918367346939,0.014693877551020407
84,84,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0,0.006530612244897959,0.7395918367346939,0.024489795918367346
