,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
35,35,1.0,0.006749884419787333,0.7029982644020525,0.2738372681114272,988,500,691.9234972677596,137.83082600438357,176.0,1.0,54.23770491803279,35.93389363025521
36,36,1.0,0.006749884419787333,0.6967231930960086,0.27587774468576376,988,500,692.0506666666666,139.4026986800721,176.0,1.0,53.4,35.67440401190019
37,37,1.0,0.006749884419787333,0.6940365502547657,0.27583271692846434,988,500,689.2037037037037,139.66888956756492,176.0,1.0,53.25132275132275,35.607986629035054
38,38,1.0,0.006749884419787333,0.6917357688789211,0.2751781476084137,988,500,687.6702127659574,139.46036097647223,168.0,1.0,52.922872340425535,35.18123603278212
39,39,1.0,0.006749884419787333,0.6952610902542281,0.2745782727991973,988,500,689.5314136125654,139.64639561583792,168.0,1.0,53.010471204188484,35.00948345892651
40,40,1.0,0.006749884419787333,0.6966072305079468,0.2737602915486493,988,500,689.2776349614396,139.2339499664437,192.0,1.0,53.26221079691517,35.502477570677804
41,41,1.0,0.006749884419787333,0.698868308783511,0.2725547439980332,988,500,690.6632911392405,139.5511679326778,192.0,1.0,53.243037974683546,35.33130607148322
42,42,1.0,0.006749884419787333,0.6974428164036931,0.27270660156205223,988,500,690.9257425742575,139.00489817919902,192.0,1.0,52.96534653465346,35.208754087524106
43,43,1.0,0.006749884419787333,0.6988564357781948,0.2724301237103657,988,500,692.9313725490196,139.06953061343177,192.0,1.0,52.9264705882353,35.25302691859193
44,44,1.0,0.006749884419787333,0.6993766485535164,0.2718809078963845,988,500,694.864734299517,139.3576097751015,192.0,1.0,52.772946859903385,35.13662910144029
45,45,1.0,0.006749884419787333,0.7015636429146617,0.27157861745581063,988,500,695.3145539906103,139.4655669059171,204.0,1.0,53.3075117370892,36.27479163478297
46,46,1.0,0.006749884419787333,0.7005766844295204,0.27178456413028523,988,500,696.212814645309,139.5862267481772,204.0,1.0,53.12814645308924,36.26124703089213
47,47,1.0,0.006749884419787333,0.7007692476276053,0.2709432850974399,988,500,697.3769751693002,140.01630516836846,204.0,1.0,52.92099322799097,36.143887749323504
48,48,1.0,0.006749884419787333,0.7004529089496836,0.270089395781138,988,500,697.834451901566,139.8505267841182,204.0,1.0,52.691275167785236,35.82735745963837
49,49,1.0,0.006749884419787333,0.6992488813668404,0.27003639161814774,988,500,698.8942731277533,140.11597943632214,204.0,1.0,52.59251101321586,36.24017304686564
50,50,1.0,0.006749884419787333,0.6963513071945014,0.2689049382528424,988,500,699.4026258205689,139.97386909054734,204.0,1.0,51.7308533916849,35.041450860898905
51,51,1.0,0.006749884419787333,0.6956709956709957,0.2694201422578466,988,500,699.0952380952381,139.3076606496207,204.0,1.0,51.688311688311686,35.02497147242955
52,52,1.0,0.006749884419787333,0.6944169347143939,0.2690141593723047,988,500,699.2063829787234,139.46118504448046,204.0,1.0,51.44468085106383,34.779355127358244
53,53,1.0,0.006749884419787333,0.6965958383434112,0.2678168106291516,988,500,699.2245322245323,139.188778811067,204.0,1.0,51.65072765072765,34.74584274429229
54,54,1.0,0.006749884419787333,0.6966017987617427,0.2675955658870105,988,500,699.0432989690721,139.423414881409,204.0,1.0,51.64742268041237,34.79309294516377
55,55,1.0,0.006749884419787333,0.698500387437896,0.2679291717225629,988,500,699.3883299798792,139.77913202847134,204.0,1.0,52.09255533199195,35.30477163373726
56,56,1.0,0.006749884419787333,0.6985905188379662,0.26707580096730915,988,500,698.6679920477137,140.50062422535024,204.0,1.0,52.1948310139165,35.3682648216631
