lat,lon,beam_id,SNR_dB,throughput_Mbps,availability_pct,FSPL_dB,Pr_dBm,Gt_dBi,G_rx_dBi,L_atm_dB,L_rain_dB
8.853306039000032,105.04208323299989,SAT_10018,19.945061178834393,190.94096913094347,98.96649435852471,170.50536632248975,-65.0446388645258,29.90496617802937,35.0,0.12090587945593473,12.323332840609483
8.853306039000032,105.14208323299988,SAT_10018,19.914541002043748,190.7692931364961,98.962909773608,170.51357465681332,-65.07515904131644,29.891672490844257,35.0,0.12103225635020268,12.332224618997175
8.853306039000032,105.24208323299987,SAT_10018,19.874392555162103,190.54345812278686,98.95816690723197,170.5243591571637,-65.11530748819808,29.874168358836425,35.0,0.12119853372560295,12.343918156145207
8.853306039000032,114.64208323299934,SAT_10019,19.717766128911563,189.66243447512755,98.93935759189579,170.5662174799764,-65.27193391444862,29.805660937358255,35.0,0.12184797236133933,12.38952939946916
8.953306039000031,104.8420832329999,SAT_10018,20.032705646370246,191.43396926083264,98.97669181310526,170.48174573601995,-64.95699439698994,29.943080603533602,35.0,0.12054308175674362,12.29778618274686
8.953306039000031,104.94208323299989,SAT_10018,20.021492258946893,191.37089395657625,98.97539569949609,170.48477184063728,-64.9682077844133,29.93820922464199,35.0,0.12058948898704573,12.301055679430958
8.953306039000031,105.04208323299989,SAT_10018,20.000598535494177,191.25336676215474,98.97297435662537,170.49040716338442,-64.98910150786601,29.929128509337293,35.0,0.12067596646662294,12.307146887352259
8.953306039000031,105.14208323299988,SAT_10018,19.970040944035773,191.08148031020121,98.96941820333116,170.4986415434356,-65.01965909932441,29.91583847766639,35.0,0.1208024598119722,12.316053573743224
8.953306039000031,105.24208323299987,SAT_10018,19.929843463873027,190.8553694842858,98.96471307979418,170.50946018892492,-65.05985657948716,29.898339158969527,35.0,0.12096888980897101,12.327766659722798
8.953306039000031,105.34208323299987,SAT_10018,19.880037449056445,190.5752106509425,98.95884008939085,170.52284376498437,-65.10966259430374,29.876630591881067,35.0,0.12117515283588144,12.34227426836456
9.05330603900003,104.8420832329999,SAT_10018,20.078407241573245,191.6910407338495,98.98195188707831,170.4694001568012,-64.91129280178694,29.962919186096165,35.0,0.12035397281854408,12.284457858263355
9.05330603900003,104.94208323299989,SAT_10018,20.06718303575552,191.62790457612482,98.98066424243551,170.4724340340785,-64.92251700760467,29.958049160547702,35.0,0.12040041311706555,12.287731720956799
9.05330603900003,105.04208323299989,SAT_10018,20.0462691903615,191.51026419578344,98.9782587446187,170.47808381689475,-64.94343085299869,29.94897096800473,35.0,0.12048695210236163,12.293831052006302
9.05330603900003,105.14208323299988,SAT_10018,20.015682253763217,191.3382126774181,98.97472591841732,170.4863392923209,-64.97401778959697,29.9356846285102,35.0,0.12061353514455725,12.302749590641712
9.05330603900003,105.24208323299987,SAT_10018,19.975446321950372,191.11188556097085,98.97005176101696,170.4971855928439,-65.01425372140982,29.918190171398585,35.0,0.12078008267133726,12.31447821729316
9.05330603900003,105.34208323299987,SAT_10018,19.925592900998808,190.8314600681183,98.9642175860989,170.51060328507833,-65.06410714236138,29.896487635296662,35.0,0.12098649059360146,12.32900500198611
9.05330603900003,105.44208323299986,SAT_10018,19.866160728651792,190.49715409866633,98.95719981363295,170.52656848478733,-65.1235393147084,29.87057706812452,35.0,0.12123263085875355,12.346315267186828
9.15330603900003,104.8420832329999,SAT_10018,20.114196760477682,191.89235677768696,98.98604358974258,170.459718357153,-64.8755032828825,29.978437814170462,35.0,0.12020591246138246,12.274016827438583
9.15330603900003,104.94208323299989,SAT_10018,20.102964755124418,191.82917674757485,98.98476261854665,170.46275815314846,-64.88673528823577,29.97356915540006,35.0,0.12025237583300713,12.27729391465436
9.15330603900003,105.04208323299989,SAT_10018,20.08203640461089,191.7114547759363,98.9823696064298,170.46841894695535,-64.9076636387493,29.964493510662848,35.0,0.12033895772509304,12.283399244731699
9.15330603900003,105.14208323299988,SAT_10018,20.05142831851377,191.53928429163994,98.97885516163602,170.47669048588057,-64.93827172484642,29.9512108999979,35.0,0.12046560332077907,12.29232653564297
9.15330603900003,105.24208323299987,SAT_10018,20.011164681708678,191.31280133461132,98.9742054050163,170.4875578446787,-64.97853536165151,29.933721352734043,35.0,0.12063223277589587,12.304066636930965
9.15330603900003,105.34208323299987,SAT_10018,19.96127711607059,191.03218377789705,98.96840181589451,170.50100151478065,-65.0284229272896,29.91202490749059,35.0,0.12083874164663173,12.318607578352896
