,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
213,80,0.7983356449375867,896,32,19,4,8,2
214,80,0.7973185390661118,694,49,22,7,7,5
215,80,0.7959315765141007,848,34,19,2,17,1
216,80,0.7952843273231622,711,45,19,5,9,4
217,80,0.7940822931114193,915,30,20,2,15,1
218,80,0.7913083680073971,722,42,19,6,7,3
219,80,0.7889042995839113,835,34,19,2,17,1
220,80,0.7871474803513638,675,45,19,9,5,2
221,80,0.7844660194174757,867,32,20,2,16,1
222,70,0.7844660194174757,867,32,20,2,16,1
223,80,0.7811373092926491,801,36,19,4,9,1
224,80,0.779750346740638,896,30,20,2,15,1
225,80,0.7795654184003699,610,54,19,6,9,1
226,80,0.7791955617198336,650,50,20,10,5,9
227,80,0.7790106333795654,667,49,19,7,7,3
228,80,0.7788257050392973,713,44,20,4,11,3
229,80,0.778455848358761,714,42,19,6,7,3
230,80,0.7757743874248728,650,48,19,6,8,2
231,80,0.7740175681923255,772,40,19,4,10,1
232,80,0.7712436430883033,511,72,20,8,9,5
233,80,0.7704114655570966,843,32,19,2,16,1
234,80,0.7682847896440129,772,38,20,2,19,1
235,80,0.7660656495607951,928,28,20,2,14,1
236,80,0.764493758668516,601,56,17,7,8,2
237,80,0.7636615811373093,535,63,19,7,9,3
238,80,0.7595931576514101,623,49,19,7,7,5
239,80,0.759500693481276,594,56,19,4,14,1
240,80,0.7566343042071197,772,36,19,2,18,1
241,70,0.7566343042071197,772,36,19,2,18,1
242,80,0.7546925566343042,867,30,20,2,15,1
243,80,0.7467406380027739,630,48,19,6,8,2
244,80,0.7441516412390199,627,48,19,6,8,2
245,80,0.7440591770688858,691,44,19,2,22,1
246,80,0.7413777161349977,915,28,20,4,7,3
247,80,0.7403606102635228,625,48,19,6,8,2
248,80,0.7384188626907073,582,54,19,6,9,1
249,80,0.737956541840037,501,72,19,4,18,1
250,80,0.7356449375866851,531,68,22,4,17,2
251,80,0.7349052242256126,577,56,19,4,14,1
252,80,0.7298196948682386,665,46,17,2,23,1
253,80,0.7293573740175682,843,30,20,2,15,1
254,80,0.729079981507166,896,28,19,4,7,3
255,80,0.7260286638927416,665,44,18,2,22,1
256,80,0.7253814147018031,513,63,19,7,9,3
257,70,0.7253814147018031,513,63,19,7,9,3
258,80,0.7244567730004623,835,30,19,2,15,1
259,80,0.7238095238095238,511,63,19,7,9,3
260,80,0.7235321312991216,622,48,20,6,8,2
261,80,0.7234396671289876,675,42,20,6,7,3
