,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
204,80,0.7940822931114193,915,30,20,2,15,1
205,80,0.7913083680073971,722,42,19,6,7,3
206,80,0.7889042995839113,835,34,19,2,17,1
207,80,0.7871474803513638,675,45,19,9,5,2
208,80,0.7844660194174757,867,32,20,2,16,1
209,80,0.7811373092926491,801,36,19,4,9,1
210,95,0.7811373092926491,801,36,19,4,9,1
211,80,0.779750346740638,896,30,20,2,15,1
212,80,0.7795654184003699,610,54,19,6,9,1
213,80,0.7791955617198336,650,50,20,10,5,9
214,80,0.7790106333795654,667,49,19,7,7,3
215,80,0.7788257050392973,713,44,20,4,11,3
216,80,0.778455848358761,714,42,19,6,7,3
217,80,0.7757743874248728,650,48,19,6,8,2
218,80,0.7740175681923255,772,40,19,4,10,1
219,80,0.7712436430883033,511,72,20,8,9,5
220,80,0.7704114655570966,843,32,19,2,16,1
221,80,0.7682847896440129,772,38,20,2,19,1
222,80,0.7660656495607951,928,28,20,2,14,1
223,80,0.7636615811373093,535,63,19,7,9,3
224,80,0.7595931576514101,623,49,19,7,7,5
225,80,0.7566343042071197,772,36,19,2,18,1
226,80,0.7546925566343042,867,30,20,2,15,1
227,80,0.7467406380027739,630,48,19,6,8,2
228,80,0.7441516412390199,627,48,19,6,8,2
229,80,0.7440591770688858,691,44,19,2,22,1
230,80,0.7413777161349977,915,28,20,4,7,3
231,80,0.7403606102635228,625,48,19,6,8,2
232,80,0.7399907535829866,610,52,19,4,13,2
233,95,0.7399907535829866,610,52,19,4,13,2
234,80,0.7384188626907073,582,54,19,6,9,1
235,80,0.7357374017568192,764,36,20,4,9,1
236,80,0.7356449375866851,531,68,22,4,17,2
237,80,0.7320388349514563,743,36,19,2,18,1
238,80,0.7313915857605178,773,34,20,2,17,1
239,80,0.7298196948682386,665,46,17,2,23,1
240,80,0.7293573740175682,843,30,20,2,15,1
241,80,0.729079981507166,896,28,19,4,7,3
242,80,0.7260286638927416,665,44,18,2,22,1
243,80,0.7253814147018031,513,63,19,7,9,3
244,80,0.7244567730004623,835,30,19,2,15,1
245,80,0.7238095238095238,511,63,19,7,9,3
246,80,0.7235321312991216,622,48,20,6,8,2
247,80,0.7234396671289876,675,42,20,6,7,3
248,80,0.722699953767915,722,40,19,4,10,1
249,80,0.7217753120665742,801,32,19,4,8,2
250,80,0.7216828478964401,755,34,19,2,17,1
251,80,0.7203883495145631,741,36,19,4,9,1
252,80,0.7132686084142394,722,38,21,2,19,1
253,80,0.7117891816920943,722,36,19,2,18,1
254,80,0.7102172907998151,984,27,23,3,9,2
255,95,0.7102172907998151,984,27,23,3,9,2
256,80,0.7091077207582062,665,42,19,2,21,1
257,80,0.7081830790568655,694,38,19,2,19,1
258,80,0.7070735090152566,501,63,17,7,9,3
259,80,0.7042071197411003,867,28,19,4,7,3
260,80,0.7040221914008322,598,48,19,6,8,2
261,80,0.7033749422098937,650,45,19,3,15,2
262,80,0.7032824780397596,659,42,19,14,3,5
263,80,0.70124826629681,643,45,18,3,15,2
264,80,0.7002311604253352,583,49,19,7,7,5
265,80,0.6978270920018493,743,35,20,7,5,4
266,80,0.6967175219602404,650,42,19,6,7,3
267,80,0.693666204345816,714,36,19,4,9,1
268,80,0.6928340268146094,773,32,19,4,8,2
269,80,0.6920943134535368,552,54,19,6,9,1
270,95,0.6920943134535368,552,54,19,6,9,1
271,80,0.6873786407766991,675,38,19,2,19,1
272,80,0.6829403606102635,843,28,19,4,7,3
273,80,0.6799815071659732,722,34,19,2,17,1
274,80,0.679796578825705,667,38,19,2,19,1
275,80,0.6779472954230236,541,56,19,7,8,2
276,80,0.6779472954230236,708,36,20,4,9,1
277,80,0.677207582061951,582,48,19,6,8,2
278,80,0.6763754045307443,823,30,20,3,10,1
279,80,0.6763754045307443,835,28,19,4,7,3
280,80,0.676005547850208,538,56,19,4,14,1
281,80,0.673509015256588,627,42,19,6,7,3
282,80,0.6715672676837725,622,45,19,3,15,2
283,80,0.6711049468331022,535,56,19,4,14,1
284,80,0.6699029126213593,620,45,19,3,15,2
285,80,0.6687933425797503,513,60,19,4,15,3
286,95,0.6687933425797503,513,60,19,4,15,3
287,80,0.6665742024965325,801,30,19,3,10,1
288,80,0.6662968099861304,511,60,19,4,15,3
289,80,0.6662968099861304,915,26,20,13,2,1
290,80,0.6634304207119741,622,42,19,6,7,3
291,80,0.6634304207119741,764,32,21,4,8,2
292,80,0.6629680998613038,743,32,19,4,8,2
293,80,0.6584373555247341,773,30,19,2,15,1
294,80,0.658252427184466,741,32,20,2,16,1
295,80,0.6567730004623209,772,30,19,2,15,1
296,80,0.6535367545076283,565,48,19,6,8,2
297,80,0.6503929727230698,535,54,19,6,9,5
298,80,0.6461396208969025,856,27,17,3,9,2
299,80,0.644290337494221,801,28,19,4,7,3
300,80,0.6432732316227462,533,57,19,3,19,2
301,80,0.6429958391123439,665,36,17,2,18,1
302,80,0.6418862690707351,598,45,19,3,15,2
303,80,0.6411465557096625,722,32,19,4,8,2
304,80,0.6397595931576514,541,52,19,4,13,2
305,80,0.6395746648173832,583,44,19,2,22,1
306,80,0.6359685621821544,610,42,20,6,7,3
307,80,0.6343966712898752,843,26,19,2,13,1
308,80,0.6314378178455848,598,42,19,6,7,3
309,80,0.6314378178455848,714,32,19,4,8,2
310,80,0.630328247803976,511,56,19,4,14,1
311,80,0.6259824318076745,650,36,19,2,18,1
312,80,0.625242718446602,743,30,19,2,15,1
313,80,0.6251502542764679,538,49,19,7,7,5
314,80,0.6243180767452612,582,45,19,3,15,2
315,80,0.6238557558945909,710,33,19,11,3,5
316,90,0.6238557558945909,710,33,19,11,3,5
317,80,0.6209893666204346,1000,24,19,3,8,2
318,80,0.6183079056865465,667,35,20,7,5,4
319,80,0.6171983356449375,989,21,19,3,7,1
320,80,0.6170134073046695,772,28,19,4,7,3
321,80,0.6161812297734628,502,54,18,6,9,1
322,80,0.6096162736939436,582,42,19,6,7,3
323,80,0.6074895977808599,764,28,19,4,7,3
324,80,0.6069348127600555,663,34,19,2,17,1
325,80,0.6057327785483125,501,56,19,7,8,1
326,80,0.6042533518261674,535,48,19,6,8,2
327,80,0.6042533518261674,865,24,19,2,12,1
328,80,0.6034211742949607,501,54,19,6,9,1
329,80,0.5976883957466482,928,22,20,2,11,1
330,80,0.597411003236246,531,48,19,6,8,2
331,80,0.5954692556634305,630,36,19,4,9,1
332,80,0.5940822931114194,575,45,22,9,5,2
333,80,0.5922330097087378,561,42,19,2,21,1
334,80,0.5914008321775313,650,34,19,2,17,1
335,80,0.5897364771151179,505,52,19,4,13,1
336,80,0.5877947295423024,552,45,18,3,15,2
337,80,0.5836338418862691,835,24,19,2,12,1
338,80,0.5780859916782247,513,48,19,2,24,1
339,80,0.5769764216366158,667,32,19,4,8,2
340,80,0.573462783171521,610,36,19,2,18,1
341,80,0.5722607489597781,539,44,20,2,22,1
342,80,0.5702265372168285,632,34,19,2,17,1
343,80,0.5691169671752196,511,48,20,2,24,1
344,80,0.5685621821544151,554,42,19,6,7,3
345,80,0.5677300046232086,513,46,18,2,23,1
346,95,0.5677300046232086,513,46,18,2,23,1
347,80,0.5677300046232086,691,30,19,2,15,1
348,80,0.5643088303282479,722,28,19,4,7,3
349,80,0.5615349052242257,970,21,22,7,3,2
350,90,0.5615349052242257,970,21,22,7,3,2
351,95,0.5615349052242257,970,21,22,7,3,2
352,80,0.5597780859916782,535,45,19,3,15,2
353,80,0.55959315765141,501,49,19,7,7,5
354,80,0.5591308368007397,650,32,19,4,8,2
355,80,0.5591308368007397,867,22,19,2,11,1
356,80,0.5570966250577901,623,34,19,2,17,1
357,80,0.545538603791031,675,30,20,6,5,3
358,80,0.545538603791031,675,30,20,2,15,1
359,80,0.5437817845584836,535,42,19,6,7,3
360,80,0.5423948220064725,667,30,19,2,15,1
361,80,0.5409153952843273,610,34,19,2,17,1
362,80,0.5395284327323162,714,28,21,2,14,1
363,80,0.53915857605178,513,44,19,2,22,1
364,80,0.5365695792880258,607,34,19,2,17,1
365,80,0.53416551086454,511,44,19,2,22,1
366,80,0.5325011558021266,835,22,19,2,11,1
367,80,0.5322237632917245,896,20,19,2,10,1
368,80,0.5298196948682385,989,18,20,2,9,1
369,80,0.5286176606564956,583,36,17,3,12,2
370,80,0.5281553398058253,645,32,19,4,8,3
371,80,0.5233472029588534,579,36,17,3,12,2
372,80,0.5218677762367083,618,32,19,4,8,2
373,80,0.5192787794729542,886,21,16,7,3,2
374,80,0.5153952843273232,531,42,21,6,7,1
375,80,0.5137309292649098,610,32,19,4,8,2
376,80,0.5125288950531669,565,36,19,4,9,1
377,80,0.5107720758206196,513,42,19,6,7,1
378,80,0.5104946833102173,551,38,20,2,19,1
379,80,0.5090152565880721,967,18,16,3,6,2
380,80,0.507628294036061,645,30,20,2,15,1
381,80,0.5061488673139158,511,42,19,6,7,3
382,80,0.49625520110957005,501,42,17,6,7,3
383,80,0.494960702727693,684,28,15,14,2,4
384,80,0.4946833102172908,594,32,19,4,8,2
385,80,0.4929264909847434,563,36,21,2,18,1
386,95,0.4929264909847434,563,36,21,2,18,1
387,80,0.49181692094313456,929,18,20,2,9,1
388,80,0.4902450300508553,675,27,20,3,9,2
389,80,0.489875173370319,928,18,20,2,9,1
390,80,0.4887656033287101,535,38,20,2,19,1
391,80,0.4880258899676375,801,21,19,3,7,1
392,95,0.4880258899676375,801,21,19,3,7,1
393,80,0.487286176606565,835,20,19,2,10,1
394,80,0.48081368469717983,989,16,19,2,8,1
395,80,0.4806287563569117,610,30,19,3,10,1
396,80,0.47350901525658806,535,36,19,4,9,1
397,80,0.4649098474341193,598,30,19,2,15,1
398,80,0.4641701340730467,513,38,19,2,19,1
399,80,0.4617660656495608,959,16,19,2,8,1
400,80,0.4608414239482201,565,32,19,4,8,2
401,80,0.45815996301433193,535,35,19,7,5,4
402,80,0.4549237170596394,867,18,19,2,9,1
403,80,0.4511326860841424,864,18,20,2,9,1
