,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
67,67,50,5,1.0,0.9047619047619048,0.9626555709662505,0.03367252915421906,993.0,503.0,698.36,162.95321537177472,168.0,39.0,88.54,36.05285564279202,67,50,5,67,50,5,67,50,5
68,68,50,6,1.0,0.9047619047619048,0.9619269533055941,0.03325784690759907,993.0,503.0,695.32,165.25077185901435,168.0,39.0,88.98,36.4518806099219,68,50,6,68,50,6,68,50,6
69,69,50,5,1.0,0.9047619047619048,0.9634932963476653,0.0330802567585398,993.0,503.0,707.26,164.07020570475314,168.0,39.0,87.54,36.448434808644386,69,50,5,69,50,5,69,50,5
70,70,50,6,1.0,0.9047619047619048,0.9613018955154878,0.03300143119848395,993.0,503.0,705.46,149.74527838967077,168.0,39.0,84.88,34.06560728946425,70,50,6,70,50,6,70,50,6
71,71,50,5,1.0,0.9047619047619048,0.9604456773000463,0.03337362920309696,993.0,503.0,706.84,152.27440494055458,168.0,39.0,84.54,34.2328555630406,71,50,5,71,50,5,71,50,5
72,72,50,5,1.0,0.9047619047619048,0.9615570966250578,0.032787860231449625,993.0,503.0,711.84,154.72121509347062,168.0,39.0,84.18,34.14890334988812,72,50,5,72,50,5,72,50,5
73,73,50,8,1.0,0.9047619047619048,0.9618714748035138,0.033241720542827535,993.0,503.0,710.48,157.7942001469002,168.0,39.0,85.46,36.060621181560364,73,50,8,73,50,8,73,50,8
74,74,50,3,1.0,0.9047619047619048,0.963169671752196,0.03346083209254685,993.0,503.0,719.66,160.40855463472016,168.0,39.0,84.22,35.158663228285576,74,50,3,74,50,3,74,50,3
75,75,50,7,1.0,0.9047619047619048,0.9618714748035139,0.03416663948432932,993.0,503.0,706.72,158.0707487171488,168.0,39.0,85.68,34.98596289942582,75,50,7,75,50,7,75,50,7
76,76,50,4,1.0,0.9047619047619048,0.9610411465557097,0.03378677524301012,993.0,503.0,703.28,156.7684968353017,168.0,39.0,85.84,35.30572758066317,76,50,4,76,50,4,76,50,4
77,77,50,6,1.0,0.9047619047619048,0.9600887656033287,0.034449567646889126,993.0,503.0,697.58,157.88908638661508,168.0,39.0,86.74,35.208981808623776,77,50,6,77,50,6,77,50,6
78,78,50,4,1.0,0.9047619047619048,0.9611021729079983,0.03349083100945779,993.0,503.0,699.14,159.31126890461954,168.0,39.0,86.84,35.26491741093405,78,50,4,78,50,4,78,50,4
79,79,50,8,1.0,0.9047619047619048,0.9611816920943136,0.033963833902853,993.0,503.0,705.02,160.63081771565504,168.0,39.0,86.14,35.32365213281322,79,50,8,79,50,8,79,50,8
80,80,50,6,1.0,0.9047619047619048,0.96015164123902,0.03507431049874745,993.0,503.0,696.32,158.6782203076402,168.0,39.0,87.82,36.13346924943687,80,50,6,80,50,6,80,50,6
81,81,50,5,1.0,0.9047619047619048,0.9617753120665742,0.03397138140812814,993.0,503.0,690.54,158.4934333024558,168.0,39.0,89.36,35.799865921536636,81,50,5,81,50,5,81,50,5
82,82,50,5,1.0,0.9047619047619048,0.9633361072584374,0.03444923746937448,993.0,503.0,693.36,159.1460662410479,168.0,39.0,90.06,35.90510270142671,82,50,5,82,50,5,82,50,5
83,83,50,3,1.0,0.9047619047619048,0.9621451687471104,0.03428626288211899,993.0,503.0,697.58,161.89232100380798,168.0,39.0,88.98,36.29572426608952,83,50,3,83,50,3,83,50,3
84,84,50,8,1.0,0.9047619047619048,0.964279241793805,0.034452439839371435,993.0,503.0,697.96,161.90008770843826,168.0,39.0,89.64,36.163384797333336,84,50,8,84,50,8,84,50,8
85,85,50,5,1.0,0.9047619047619048,0.9614165510864541,0.03428732035173002,993.0,503.0,707.54,164.6416970272112,168.0,39.0,86.82,36.30795505120056,85,50,5,85,50,5,85,50,5
86,86,50,10,1.0,0.9047619047619048,0.9621414701803052,0.034493915303282455,993.0,503.0,716.66,169.79665603303263,168.0,39.0,86.2,36.55954047851258,86,50,10,86,50,10,86,50,10
87,87,50,10,1.0,0.9047619047619048,0.962455848358761,0.03432730272675295,993.0,503.0,703.74,164.47939810201154,168.0,39.0,88.12,36.13897618915068,87,50,10,87,50,10,87,50,10
88,88,50,6,1.0,0.9047619047619048,0.9614184003698567,0.03468179940217783,993.0,503.0,712.42,164.96170343446386,168.0,39.0,86.08,35.09976638098892,88,50,6,88,50,6,88,50,6
89,89,50,7,1.0,0.9058714748035136,0.961202034211743,0.03416681084349931,993.0,503.0,712.72,165.34304218805215,168.0,39.0,85.6,35.478444159799345,89,50,7,89,50,7,89,50,7
90,90,50,6,1.0,0.9058714748035136,0.9602385575589458,0.0345629014350087,993.0,503.0,716.48,166.43860609846502,168.0,39.0,84.92,35.92483263704926,90,50,6,90,50,6,90,50,6
