,generation,index,coverage,altitude,num_sats,inclination,num_planes,num_sats_per_plane,phasing
145,2,46,0.6499306518723994,860,28,16,7,4,1
146,2,47,0.9958391123439667,811,88,23,4,22,1
147,2,48,0.5453536754507629,583,63,22,7,9,6
148,2,49,0.8530744336569579,859,45,15,3,15,1
149,2,50,1.0,993,91,18,7,13,5
150,3,1,0.7102172907998151,984,27,23,3,9,2
151,3,2,0.561997226074896,804,40,16,10,4,5
152,3,3,1.0,573,276,19,12,23,3
153,3,4,0.6102635228848821,852,27,23,3,9,2
154,3,5,0.6864539990753583,513,68,23,4,17,2
155,3,6,0.9988904299583912,552,216,25,12,18,2
156,3,7,0.8601017105871475,513,276,15,12,23,3
157,3,8,0.993712436430883,945,85,25,5,17,2
158,3,9,1.0,681,180,23,10,18,1
159,3,10,0.6359685621821544,650,45,15,3,15,1
160,3,11,0.9558945908460471,874,56,23,7,8,4
161,3,12,0.9575589459084605,578,102,20,6,17,5
162,3,13,0.9184466019417475,610,88,23,4,22,1
163,3,14,1.0,691,135,22,9,15,2
164,3,15,0.7484049930651873,573,63,21,7,9,1
165,3,16,0.7205732778548313,552,81,25,9,9,2
166,3,17,0.877207582061951,722,54,17,9,6,1
167,3,18,0.561997226074896,804,40,16,10,4,5
168,3,19,0.9462783171521035,547,162,25,9,18,3
169,3,20,0.7071659731853907,547,68,18,4,17,3
170,3,21,0.6794267221451687,578,54,21,6,9,5
171,3,22,0.8339343504392048,513,92,23,4,23,3
172,3,23,0.9813222376329173,739,90,23,5,18,1
173,3,24,0.7175219602404068,772,42,22,3,14,1
174,3,25,0.7586685159500693,825,36,20,3,12,2
175,3,26,0.8042533518261673,874,42,22,14,3,13
176,3,27,1.0,821,120,17,10,12,5
177,3,28,0.8466019417475729,860,44,19,2,22,1
178,3,29,0.7915857605177994,685,51,18,3,17,2
179,3,30,0.9727230698104484,650,120,25,10,12,4
180,3,31,0.970873786407767,552,162,25,9,18,2
181,3,32,0.9194637078132224,665,68,18,4,17,2
182,3,33,0.9006010171058715,552,88,20,4,22,2
183,3,34,0.9995376791493297,772,88,20,4,22,2
184,3,35,0.9470180305131761,694,72,21,6,12,5
185,3,36,0.93666204345816,811,63,16,7,9,3
186,3,37,0.7739251040221914,547,85,18,5,17,3
187,3,38,1.0,825,88,20,4,22,2
188,3,39,0.9813222376329173,852,72,23,4,18,3
189,3,40,0.9257512713823394,857,54,21,6,9,2
190,3,41,0.8757281553398059,874,45,15,3,15,2
191,3,42,0.6795191863153028,860,28,16,7,4,5
192,3,43,0.9600554785020804,730,72,22,6,12,4
193,3,44,0.7804900601017106,662,54,20,3,18,1
194,3,45,0.9033749422098937,547,90,18,5,18,1
195,3,46,0.9727230698104484,650,120,25,10,12,4
196,3,47,0.9864077669902913,857,63,21,7,9,2
197,3,48,0.8626907073509015,859,45,15,3,15,2
198,3,49,0.7833564493758669,872,36,16,3,12,2
199,3,50,0.9426722145168747,772,66,17,3,22,2
200,4,1,0.6864539990753583,513,68,23,4,17,2
201,4,2,0.8601017105871475,513,276,15,12,23,3
202,4,3,0.5329634766527971,722,27,17,3,9,2
203,4,4,0.8579750346740638,989,44,16,2,22,1
204,4,5,1.0,573,161,21,7,23,1
205,4,6,0.9988904299583912,552,216,25,12,18,2
206,4,7,0.993712436430883,945,85,25,5,17,2
207,4,8,0.970873786407767,552,162,25,9,18,2
208,4,9,0.6359685621821544,650,45,15,3,15,1
209,4,10,0.9558945908460471,874,56,23,7,8,4
210,4,11,0.6006472491909385,552,44,19,2,22,1
211,4,12,0.7251040221914008,547,60,18,4,15,3
212,4,13,0.9759593157651411,610,132,23,6,22,1
213,4,14,0.6795191863153028,860,28,16,7,4,5
214,4,15,0.9575589459084605,578,102,20,6,17,5
215,4,16,0.6102635228848821,852,27,23,3,9,2
216,4,17,0.7484049930651873,573,63,21,7,9,1
217,4,18,0.7102172907998151,984,27,23,3,9,2
218,4,19,1.0,691,135,22,9,15,2
219,4,20,0.7943596856218216,589,72,15,6,12,3
220,4,21,0.7887193712436431,804,40,16,10,4,2
221,4,22,0.9813222376329173,739,90,23,5,18,1
222,4,23,0.7175219602404068,772,42,22,3,14,1
223,4,24,0.8042533518261673,874,42,22,14,3,13
224,4,25,0.7915857605177994,685,51,18,3,17,2
225,4,26,0.7586685159500693,825,36,20,3,12,2
226,4,27,0.8339343504392048,513,92,23,4,23,3
227,4,28,0.9194637078132224,665,68,18,4,17,2
228,4,29,0.9184466019417475,610,88,23,4,22,1
229,4,30,1.0,821,120,17,10,12,5
230,4,31,0.9727230698104484,650,120,25,10,12,4
231,4,32,0.8432732316227461,573,84,21,7,12,5
232,4,33,0.877207582061951,722,54,17,9,6,1
233,4,34,0.9954692556634305,694,120,21,10,12,5
234,4,35,0.9995376791493297,772,88,20,4,22,2
235,4,36,0.9813222376329173,852,72,23,4,18,3
236,4,37,1.0,825,88,20,4,22,2
237,4,38,0.9600554785020804,730,72,22,6,12,4
238,4,39,0.7833564493758669,872,36,16,3,12,2
239,4,40,0.9006010171058715,552,88,20,4,22,2
240,4,41,0.7001386962552011,722,42,17,3,14,1
241,4,42,0.93666204345816,811,63,16,7,9,3
242,4,43,0.8466019417475729,860,44,19,2,22,1
243,4,44,0.8757281553398059,874,45,15,3,15,2
244,4,45,0.9398982894128525,573,92,19,4,23,3
245,4,46,0.7739251040221914,547,85,18,5,17,3
246,4,47,0.9033749422098937,547,90,18,5,18,1
247,4,48,0.7804900601017106,662,54,20,3,18,1
248,4,49,0.7098474341192788,578,54,19,6,9,5
249,4,50,0.9257512713823394,857,54,21,6,9,2
250,5,1,0.6864539990753583,513,68,23,4,17,2
251,5,2,0.5329634766527971,722,27,17,3,9,2
252,5,3,0.7102172907998151,984,27,23,3,9,2
253,5,4,1.0,552,216,18,12,18,2
254,5,5,0.5051317614424411,573,36,16,3,12,2
255,5,6,0.9956541840036985,513,216,25,12,18,2
256,5,7,0.970873786407767,552,162,25,9,18,2
257,5,8,0.6006472491909385,552,44,19,2,22,1
258,5,9,0.6359685621821544,650,45,15,3,15,1
259,5,10,0.9759593157651411,610,132,23,6,22,1
260,5,11,0.8653721682847897,886,42,17,3,14,1
261,5,12,0.9995376791493297,694,108,25,9,12,5
262,5,13,0.873416551086454,932,42,21,14,3,5
263,5,14,1.0,573,161,21,7,23,1
264,5,15,1.0,691,135,22,9,15,2
265,5,16,0.7251040221914008,547,60,18,4,15,3
266,5,17,0.9600554785020804,730,72,22,6,12,4
267,5,18,0.7887193712436431,804,40,16,10,4,2
268,5,19,0.7175219602404068,772,42,22,3,14,1
