,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
42,42,50,0,1.0,0.5030975496994915,0.9314193250115581,0.14296833816773943,997.0,511.0,820.1,144.53321417584263,336.0,20.0,192.36,103.02732841338748
43,43,50,0,1.0,0.43994452149791957,0.9476430883032825,0.11537639513714734,997.0,511.0,818.94,155.11652523183983,336.0,20.0,174.16,97.68671557586528
44,44,50,0,1.0,0.39029126213592236,0.9351696717521959,0.1335402796623873,997.0,506.0,807.28,166.25559118417644,336.0,20.0,166.5,95.04193811155157
45,45,50,0,1.0,0.39029126213592236,0.9537531206657421,0.12535438764860493,997.0,511.0,804.54,159.3436801382471,336.0,32.0,162.82,71.83110468313849
46,46,50,0,1.0,0.39029126213592236,0.9677688395746649,0.09569578667547914,997.0,511.0,801.76,166.38852845073183,264.0,32.0,150.84,54.682852888268364
47,47,50,0,1.0,0.39029126213592236,0.9701229773462782,0.09155780021904375,971.0,511.0,788.96,174.65279385111478,280.0,32.0,158.54,59.409834202764785
48,48,50,0,1.0,0.8312528895053167,0.9826611188164587,0.04065400566528028,971.0,526.0,798.2,171.1846955776129,336.0,48.0,170.58,61.85728413048862
49,49,50,0,1.0,0.5235321312991216,0.9675228848821081,0.08089916051451342,971.0,526.0,775.2,182.4967944923965,238.0,84.0,153.66,42.46721559038219
50,50,50,0,1.0,0.26897827092001847,0.9480739713361074,0.14333997865491713,971.0,526.0,804.14,184.44348836432258,238.0,10.0,140.96,48.41279169806261
51,51,50,0,1.0,0.4823855755894591,0.9769930651872398,0.07897881895357281,971.0,526.0,840.0,170.11243340802577,240.0,51.0,151.06,49.28383507804562
52,52,50,0,1.0,0.8882108183079057,0.9917817845584835,0.02230296842885146,995.0,526.0,866.2,146.89465613152848,312.0,51.0,138.88,52.97344240277386
53,53,50,0,1.0,0.7593157651410078,0.9829773462783171,0.048831711426365845,995.0,526.0,843.8,162.5489464745927,240.0,34.0,143.9,58.481535547555524
54,54,50,0,1.0,0.5559870550161812,0.9799186315302819,0.07236485485623671,995.0,526.0,869.74,138.87315219292748,240.0,34.0,125.1,51.81515222403578
55,55,50,0,1.0,0.7593157651410078,0.987226999537679,0.0437900118663513,995.0,526.0,887.82,127.19507694875618,240.0,34.0,134.58,49.93879854381762
56,56,50,0,1.0,0.849375866851595,0.9860046232085068,0.03594158180963594,995.0,526.0,877.08,132.03603144596553,240.0,65.0,133.04,48.20205804734898
57,57,50,0,1.0,0.23596856218215442,0.9627461858529819,0.1251563355180252,995.0,526.0,844.06,138.2738456831226,240.0,10.0,132.96,47.27238517358734
58,58,50,0,1.0,0.7332408691631993,0.9731964863615349,0.06373560985939387,995.0,526.0,859.22,125.66722563978247,216.0,48.0,125.06,39.74237536937117
59,59,50,0,1.0,0.8536292186777623,0.9833915857605179,0.03603934476286891,995.0,537.0,846.68,133.35673061379393,216.0,51.0,130.54,46.27492193402383
60,60,50,0,1.0,0.7378640776699029,0.9792380952380952,0.055142791364988404,995.0,537.0,855.42,108.18264001215722,216.0,51.0,133.62,48.60118928586007
61,61,50,0,1.0,0.7378640776699029,0.9864835876098011,0.03995876824238915,995.0,537.0,834.26,115.78269473457593,216.0,51.0,133.54,42.83092807773373
62,62,50,0,1.0,0.7529357374017568,0.9829773462783171,0.051448996102635966,995.0,537.0,839.08,127.32428519335971,220.0,39.0,142.38,49.033413097601105
63,63,50,0,1.0,0.8073046694405918,0.984144244105409,0.037738868982181865,995.0,537.0,833.96,141.79519879036806,216.0,39.0,137.22,42.36380058493336
64,64,50,0,1.0,0.8073046694405918,0.9896199722607488,0.028329988489528207,995.0,537.0,850.64,123.2650412728605,240.0,39.0,143.04,42.51256755360701
65,65,50,0,1.0,0.8183079056865464,0.9877466481738327,0.03502645401332902,995.0,525.0,852.86,129.9013487227904,240.0,64.0,149.54,41.63950528044251
66,66,50,0,1.0,0.8183079056865464,0.9873546000924642,0.03608663959920042,974.0,525.0,853.02,131.30110281334274,280.0,64.0,141.72,53.23045744684147
67,67,50,0,1.0,0.6994914470642626,0.9736292186777622,0.06582326521017784,974.0,525.0,835.16,125.7746174710939,286.0,48.0,149.3,65.72921724773542
68,68,50,0,1.0,0.6483587609801202,0.9722866389274156,0.06939602239447953,995.0,525.0,835.28,132.61101613365307,286.0,64.0,154.58,68.44620953712484
69,69,50,0,1.0,0.40527045769764214,0.9564697179842809,0.10420527091715508,995.0,525.0,824.04,136.139187598575,280.0,24.0,145.9,56.81698689652593
70,70,50,0,1.0,0.6958853444290337,0.9712048081368471,0.06146727081388788,995.0,525.0,839.68,142.66975012244188,280.0,48.0,143.64,50.33239910832783
71,71,50,0,1.0,0.8852519648636153,0.9838502080443827,0.031113766565575105,995.0,525.0,800.86,166.8617403720817,260.0,48.0,145.68,43.017875354322186
72,72,50,0,1.0,0.6822006472491909,0.9809172445677299,0.05321532664197808,995.0,525.0,802.08,156.9457027127535,260.0,48.0,151.06,35.41435302246816
73,73,50,0,1.0,0.6438280166435506,0.9742931114193252,0.06979387026566565,995.0,525.0,784.86,153.58671947795486,200.0,48.0,144.4,34.782179345176175
74,74,50,0,1.0,0.6245030050855294,0.9420453074433658,0.11307584913851966,974.0,525.0,789.82,154.21604196710535,189.0,48.0,133.46,36.5552786885834
75,75,50,0,1.0,0.6822006472491909,0.9690799815071659,0.06669826371435536,974.0,525.0,814.24,108.09839221746084,187.0,44.0,134.26,38.58694597917798
76,76,50,0,1.0,0.4542764678687009,0.958849745723532,0.10018513436405219,974.0,601.0,833.38,99.00866426732561,209.0,44.0,131.4,43.36219551637117
77,77,50,0,1.0,0.6364308830328248,0.9719408229311142,0.07507005838431116,974.0,601.0,829.26,88.32752911748408,220.0,44.0,136.48,41.149114206748116
78,78,50,0,1.0,0.7003236245954693,0.9753231622746185,0.06299297647168316,974.0,550.0,800.12,104.12120629343475,220.0,40.0,140.88,38.81218365410532
79,79,50,0,1.0,0.7003236245954693,0.9774350439204809,0.05527500035182485,974.0,550.0,806.28,102.44765297458015,240.0,40.0,141.38,34.94160271080879
80,80,50,0,1.0,0.7003236245954693,0.9751900138696256,0.05439332716842441,974.0,515.0,772.62,117.86532823523633,240.0,72.0,140.96,35.722239571449045
81,81,50,0,1.0,0.7872399445214979,0.9821026352288489,0.04070038413565241,974.0,515.0,798.94,117.67742519277009,240.0,64.0,137.5,34.46345890940142
