,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
29,29,50,19,0.861004160887656,0.14026978637501458,0.6038834951456311,1.0,711.62,157.99213777906797,513.0,988.0,73.0,39.99699988749156,24.0,180.0
30,30,50,11,0.8684845122515026,0.13763813559107824,0.6038834951456311,1.0,709.18,160.29818339582016,511.0,988.0,78.26,51.76362042979606,24.0,308.0
31,31,50,14,0.86726213592233,0.13771799390359235,0.6038834951456311,1.0,711.0,152.1007560796461,511.0,988.0,78.12,52.35365889792231,24.0,308.0
32,32,50,8,0.8628090614886732,0.1363030750839574,0.6038834951456311,1.0,712.96,152.26594629134905,511.0,988.0,74.94,49.855555357452396,24.0,308.0
33,33,50,14,0.8628719371243642,0.136520150479088,0.6038834951456311,1.0,709.32,155.5226594422819,511.0,988.0,75.8,50.46265946222019,24.0,308.0
34,34,50,16,0.8646490984743412,0.13722421879651367,0.6038834951456311,1.0,702.92,158.93556430201517,511.0,988.0,82.26,61.59084672254475,24.0,308.0
35,35,50,12,0.8617956541840037,0.13952477387284157,0.6038834951456311,1.0,700.58,155.37053646042415,511.0,988.0,83.7,62.839875875116114,24.0,308.0
36,36,50,16,0.8601257512713824,0.1399716411558002,0.6038834951456311,1.0,705.1,157.8320943281182,511.0,988.0,83.28,61.99743220489055,24.0,308.0
37,37,50,16,0.8556264447526583,0.14459395202644382,0.6038834951456311,1.0,698.02,158.81076663752995,511.0,988.0,84.98,62.77562902910651,24.0,308.0
38,38,50,13,0.8635487748497458,0.138035828822083,0.6038834951456311,1.0,704.32,159.38424514361512,511.0,988.0,83.08,60.35854206324072,24.0,308.0
39,39,50,8,0.8674267221451687,0.13836793723877977,0.6038834951456311,1.0,696.08,161.08393340119306,511.0,988.0,86.14,60.26807114882639,24.0,308.0
40,40,50,10,0.868325473878872,0.1392849413556915,0.6038834951456311,1.0,708.72,160.96037276298784,511.0,988.0,81.78,59.98142712540274,24.0,308.0
41,41,50,13,0.8582228386500232,0.14138151677857203,0.6038834951456311,1.0,694.96,155.69893512802201,511.0,988.0,83.4,61.50512173794959,24.0,308.0
42,42,50,12,0.8459972260748959,0.1406937647085423,0.6053629218677762,1.0,710.58,150.41636746045958,511.0,988.0,77.48,60.87733239884941,24.0,308.0
