,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
46,46,50,15,1.0,0.0031437817845584837,0.6689135460009246,0.3586171190894287,1000.0,500.0,706.12,167.57000208867936,216.0,1.0,68.9,59.605452770698754,46,50,15,46,50,15,46,50,15
47,47,50,11,1.0,0.0031437817845584837,0.6726398520573278,0.36350536800910926,1000.0,500.0,708.08,162.6491733763194,216.0,1.0,69.08,59.57275887517717,47,50,11,47,50,11,47,50,11
48,48,50,19,1.0,0.0031437817845584837,0.6728007397133611,0.3501916567167115,1000.0,500.0,697.72,168.02797862260917,216.0,1.0,67.92,59.55798519090451,48,50,19,48,50,19,48,50,19
49,49,50,15,1.0,0.0031437817845584837,0.6299639389736477,0.3699392420148558,1000.0,500.0,692.68,161.78509696507894,216.0,1.0,64.66,59.996203213203415,49,50,15,49,50,15,49,50,15
50,50,50,12,1.0,0.0031437817845584837,0.6663726306056402,0.3574769476346695,1000.0,500.0,697.24,165.24655034220837,216.0,1.0,67.14,58.90127672640042,50,50,12,50,50,12,50,50,12
51,51,50,19,1.0,0.0031437817845584837,0.6645899214054555,0.3416870630735707,1000.0,500.0,671.92,160.83132033282573,216.0,1.0,68.28,58.05343745205791,51,50,19,51,50,19,51,50,19
52,52,50,16,1.0,0.0031437817845584837,0.6570134073046695,0.33759888838594354,1000.0,500.0,672.5,164.2372978345662,216.0,1.0,66.64,58.169669072464224,52,50,16,52,50,16,52,50,16
53,53,50,13,1.0,0.0031437817845584837,0.6488969024503005,0.33271841403320385,1000.0,500.0,677.88,166.28621590498713,216.0,1.0,66.72,59.793993009331636,53,50,13,53,50,13,53,50,13
54,54,50,16,1.0,0.0031437817845584837,0.6649764216366159,0.34067007912232866,1000.0,500.0,687.06,162.83702404551613,216.0,1.0,67.18,58.38585102574081,54,50,16,54,50,16,54,50,16
55,55,50,19,1.0,0.0031437817845584837,0.6541618122977346,0.3378871714443662,1000.0,500.0,687.18,159.89730329183166,216.0,1.0,65.96,58.212356076695606,55,50,19,55,50,19,55,50,19
