,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
587,80,0.4649098474341193,598,30,19,2,15,1
588,80,0.4641701340730467,513,38,19,2,19,1
589,80,0.4621359223300971,743,24,17,3,8,2
590,80,0.4617660656495608,959,16,19,2,8,1
591,80,0.4608414239482201,565,32,19,4,8,2
592,80,0.45815996301433193,535,35,19,7,5,4
593,80,0.4572353213129912,531,36,20,2,18,1
594,80,0.4549237170596394,867,18,19,2,9,1
595,80,0.4511326860841424,864,18,20,2,9,1
596,80,0.44909847434119277,722,24,19,3,8,2
597,80,0.44715672676837726,667,27,19,3,9,1
598,80,0.44697179842810913,665,27,17,3,9,1
599,80,0.44687933425797505,928,16,20,2,8,1
600,80,0.44567730004623207,856,18,20,2,9,1
601,80,0.4453074433656958,502,38,20,2,19,1
602,80,0.4441978733240869,923,16,20,2,8,1
603,80,0.44336569579288027,714,24,19,3,8,2
604,80,0.43966712898751736,623,27,20,3,9,2
605,80,0.4395746648173833,513,36,19,2,18,1
606,80,0.43929727230698107,511,36,19,4,9,1
607,80,0.4357836338418863,843,18,17,6,3,1
608,80,0.4348589921405455,610,27,19,3,9,2
609,80,0.4343042071197411,835,18,19,2,9,1
610,80,0.4322699953767915,665,24,18,2,12,1
611,80,0.4305131761442441,506,36,19,2,18,1
612,80,0.42755432269995375,896,16,19,2,8,1
613,80,0.42625982431807674,501,36,19,4,9,1
614,80,0.42533518261673603,815,18,19,2,9,1
615,80,0.42043458159963015,511,35,20,7,5,4
616,80,0.42006472491909386,535,32,19,4,8,2
617,80,0.4165510864539991,558,30,20,3,10,1
618,80,0.41599630143319466,513,34,19,2,17,1
619,80,0.4109107720758206,989,14,19,2,7,1
620,80,0.4030513176144244,583,28,21,4,7,3
621,80,0.39916782246879334,803,18,22,2,9,1
622,80,0.3965788257050393,650,24,19,3,8,2
623,80,0.39260286638927416,835,16,19,2,8,1
624,80,0.39195561719833566,513,32,19,4,8,2
625,80,0.3900138696255201,511,32,19,4,8,2
626,80,0.3872399445214979,714,20,21,2,10,1
627,80,0.3868700878409616,929,14,20,2,7,1
628,80,0.3855755894590846,535,30,20,2,15,1
629,80,0.37882570503929724,915,14,20,2,7,1
630,80,0.3664355062413315,602,25,20,5,5,3
631,80,0.36208969024503007,513,30,20,2,15,1
632,80,0.3619047619047619,583,25,21,5,5,4
633,80,0.3598705501618123,511,30,20,2,15,1
634,80,0.3590383726306056,565,28,19,4,7,2
635,80,0.3582986592695331,601,24,19,3,8,2
636,80,0.35589459084604713,694,21,22,7,3,1
637,80,0.3530282015718909,535,27,20,3,9,2
638,80,0.35284327323162273,579,24,19,2,12,1
639,80,0.34895977808599166,501,30,20,2,15,1
640,80,0.34017568192325476,511,28,20,4,7,3
641,80,0.3398982894128525,835,14,19,2,7,1
642,80,0.33906611188164587,743,16,19,2,8,1
643,80,0.32806287563569114,857,13,19,13,1,3
644,80,0.327877947295423,502,27,18,3,9,2
645,80,0.307535829865927,561,24,23,6,4,1
646,80,0.3049468331021729,867,12,19,4,3,2
647,80,0.29736477115117893,622,18,18,6,3,1
648,80,0.29070735090152566,1000,10,21,10,1,8
649,80,0.2848821081830791,843,12,15,6,2,3
650,80,0.2792417938049006,673,15,19,3,5,2
651,80,0.2769301895515488,643,16,18,2,8,1
652,80,0.2768377253814147,938,10,20,2,5,1
653,80,0.2755432269995377,535,21,19,7,3,3
654,80,0.27249190938511325,928,10,20,2,5,1
655,80,0.27119741100323624,583,18,19,6,3,1
656,80,0.27082755432269995,865,11,19,11,1,5
657,80,0.2530744336569579,511,21,20,7,3,6
658,80,0.251872399445215,747,12,19,4,3,3
659,80,0.24789644012944984,563,18,21,3,6,2
660,80,0.23744798890429958,501,21,21,7,3,1
661,80,0.23744798890429958,535,18,19,2,9,1
662,80,0.22764678687008785,945,8,17,8,1,2
663,80,0.21969486823855755,579,16,15,8,2,5
664,80,0.21793804900601016,503,18,19,3,6,1
665,80,0.21562644475265835,502,18,18,2,9,1
666,80,0.20998613037447988,538,16,19,4,4,3
667,80,0.20073971336107257,858,8,19,8,1,6
668,80,0.19722607489597782,535,16,15,4,4,3
669,80,0.18751733703190013,835,8,17,4,2,3
670,80,0.1845584835876098,535,14,19,2,7,1
671,80,0.18058252427184465,501,16,22,8,2,1
672,80,0.1739251040221914,650,10,19,2,5,1
673,80,0.163291724456773,550,12,19,2,6,1
674,80,0.1568192325473879,645,9,17,9,1,4
675,80,0.1502542764678687,900,6,16,6,1,3
676,80,0.1409153952843273,546,12,17,3,4,2
677,80,0.13906611188164586,513,12,22,4,3,3
678,80,0.13601479426722146,929,5,17,5,1,1
679,80,0.13518261673601478,603,10,25,10,1,2
680,80,0.12306981044845122,743,6,21,3,2,2
681,80,0.09958391123439667,647,6,20,2,3,1
682,80,0.09782709200184929,805,4,19,4,1,2
683,80,0.07933425797503467,700,4,19,4,1,1
684,80,0.061766065649560796,769,3,15,3,1,1
685,80,0.0521497919556172,650,4,20,4,1,3
686,80,0.03661581137309293,501,11,25,1,11,0
687,80,0.0260748959778086,535,2,19,2,1,1
688,80,0.022098936662043458,502,8,19,1,8,0
